Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,1990,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2364.9130636591512,1830.8559689477574,3089.810004379835
All Population,Brunei Darussalam,1991,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2364.308910348887,1808.0600365735208,3063.797965635866
All Population,Brunei Darussalam,1992,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2365.730858167591,1779.1784601777272,3088.4143942142205
All Population,Brunei Darussalam,1993,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2365.4716698409984,1793.6701229840853,3069.563983977365
All Population,Brunei Darussalam,1994,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2362.712800243735,1815.2369082678435,3033.066359620601
All Population,Brunei Darussalam,1995,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2359.178166739422,1849.4766647486113,2996.3184631202917
All Population,Brunei Darussalam,1996,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2471.42642758651,1930.8856756350406,3103.884369304109
All Population,Brunei Darussalam,1997,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2474.9498770956143,1965.3649188342358,3126.706388130293
All Population,Brunei Darussalam,1998,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2528.2265224448506,2051.278141830704,3145.626416714427
All Population,Brunei Darussalam,1999,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2601.9866621629503,2112.8640180330754,3267.594073975201
All Population,Brunei Darussalam,2000,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2614.665507918105,2083.7655714668654,3298.5939282635086
All Population,Brunei Darussalam,2001,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2613.727354369375,2071.9547098423755,3293.1338201803133
All Population,Brunei Darussalam,2002,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2652.60045911974,2074.4493058684357,3340.8738532128473
All Population,Brunei Darussalam,2003,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2655.5489262247984,2072.8639899674454,3288.2321449346227
All Population,Brunei Darussalam,2004,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2683.3246468159796,2126.658432439133,3351.6980286764565
All Population,Brunei Darussalam,2005,15-19 years,Both,Depressive disorders,"Prevalent cases per 100,000",2739.0936385040777,2166.1461029838247,3438.2788455853365
