Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Republic of Korea,2010,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2724.9761068178095,2328.879021342211,3178.6396550846684
All Population,Republic of Korea,2011,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2721.099930646714,2344.08917568287,3172.732398125868
All Population,Republic of Korea,2012,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2812.5545751026675,2441.8173439972006,3275.251117212899
All Population,Republic of Korea,2013,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2839.15005107999,2466.0743886616187,3322.393331180184
All Population,Republic of Korea,2014,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2853.9788480181564,2467.660184246183,3338.1017537293874
All Population,Republic of Korea,2015,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2879.7004192737763,2434.6751447676666,3358.888550397598
All Population,Republic of Korea,2016,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2819.113318451384,2383.5994043836736,3301.0686164000954
All Population,Republic of Korea,2017,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2961.289155845182,2497.196032829194,3436.113385343629
All Population,Republic of Korea,2018,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2823.770422790121,2380.9220841007605,3290.821351762317
All Population,Republic of Korea,2019,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2960.9385467025463,2490.674274381804,3442.311904549454
All Population,Republic of Korea,2020,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3306.7546045845656,2766.072150725639,3888.3101107226003
All Population,Republic of Korea,2021,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3367.7325401068165,2821.4659062538967,3955.7294922132724
All Population,Republic of Korea,2022,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3382.587754385952,2823.1918425955555,4019.1210895993127
All Population,Republic of Korea,2023,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3399.6765448883943,2850.0398511373246,4022.4193378443097
All Population,Singapore,1990,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1872.8591728388506,1410.5141442717593,2395.1268052094015
All Population,Singapore,1991,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1964.054554210318,1489.146958964514,2492.870931068943
All Population,Singapore,1992,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1880.5580430611428,1432.275089951663,2385.107674168004
All Population,Singapore,1993,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1924.0333127884983,1469.6035522363056,2422.1506246856407
All Population,Singapore,1994,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1995.186082521801,1545.6733053454823,2500.7672403269976
All Population,Singapore,1995,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1867.2747893218273,1443.9362259996226,2365.8093303623727
All Population,Singapore,1996,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1890.497246711762,1477.5576684653977,2384.1467959446572
All Population,Singapore,1997,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1877.9468906390655,1465.376276255696,2340.4268775825262
All Population,Singapore,1998,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1838.1511411358572,1454.01016742571,2299.350671100761
All Population,Singapore,1999,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1848.864812632932,1478.1592264659548,2339.7694361799468
All Population,Singapore,2000,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1859.7310263740385,1492.735345680854,2363.97324250489
All Population,Singapore,2001,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1876.3968291923013,1506.6477560633318,2383.944720691861
All Population,Singapore,2002,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1889.0652228202698,1500.815194545934,2390.0756461231094
All Population,Singapore,2003,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1895.0840901063768,1509.8157059314208,2374.774902868967
All Population,Singapore,2004,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1890.9173430304738,1475.4039489729846,2363.6373223314486
All Population,Singapore,2005,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1879.8608509436626,1445.5246559994073,2329.0595377797367
All Population,Singapore,2006,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1870.465091863695,1452.6719871724727,2331.3152747600893
All Population,Singapore,2007,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1866.882068259856,1462.0689096554754,2312.7468496078072
All Population,Singapore,2008,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1869.4557356848165,1459.670916152398,2312.255270158086
All Population,Singapore,2009,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1885.612366663177,1485.1645275271737,2342.271444623438
All Population,Singapore,2010,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1914.4489542175809,1518.730759297991,2363.5149083718275
All Population,Singapore,2011,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1948.1669623175856,1557.1896384751517,2415.7225468655756
All Population,Singapore,2012,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1968.9262767495993,1577.8197493461141,2431.1566172328985
All Population,Singapore,2013,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1976.744096822985,1585.4749067621062,2427.050794684188
All Population,Singapore,2014,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1982.0499779940856,1572.861914634701,2424.043495207819
All Population,Singapore,2015,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",1992.223368553629,1554.9098100266965,2430.88368676688
All Population,Singapore,2016,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2006.9779814380142,1560.0445759389645,2443.097108049166
All Population,Singapore,2017,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2030.5100744799922,1577.4733926648687,2500.0903746538424
All Population,Singapore,2018,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2054.616381046872,1608.093381848422,2544.6575260198565
All Population,Singapore,2019,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2074.2521100395884,1642.3148283949497,2571.1383080106293
All Population,Singapore,2020,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2248.9625919726186,1785.272877645189,2795.1450225534873
All Population,Singapore,2021,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2390.1760811249255,1880.2852450642595,2949.086918876719
All Population,Singapore,2022,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2321.564016000682,1821.4091704688747,2869.727451609054
All Population,Singapore,2023,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2348.6322111903955,1828.1326384333888,2947.94479350984

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 1/24/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
