Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,1990,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2494.3360794439573,1926.7279282840138,3204.499325609129
All Population,Brunei Darussalam,1991,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2498.151623748091,1934.0795652542893,3210.8258970842676
All Population,Brunei Darussalam,1992,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2499.4887590744615,1946.7103851821657,3196.080484749168
All Population,Brunei Darussalam,1993,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2497.221074775968,1955.2051309740207,3141.3206950530807
All Population,Brunei Darussalam,1994,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2491.654954758216,1962.6063249528418,3143.29263466993
All Population,Brunei Darussalam,1995,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2484.802281174776,1948.3029951941892,3136.3939309564007
All Population,Brunei Darussalam,1996,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2568.759763861825,2034.0850707756192,3180.5157956698868
All Population,Brunei Darussalam,1997,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2556.45290062314,2028.5058924264097,3135.926610562381
All Population,Brunei Darussalam,1998,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2581.7638651344055,2055.9606916850717,3199.1654852871143
All Population,Brunei Darussalam,1999,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2616.816288621146,2075.0436140107795,3263.1409364448373
All Population,Brunei Darussalam,2000,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2597.9204001826047,2083.6285577546882,3222.1207955030472
All Population,Brunei Darussalam,2001,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2568.1080768358884,2066.3866522663297,3188.5790783023963
All Population,Brunei Darussalam,2002,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2572.6272549001997,2081.2960267257126,3204.107323025309
All Population,Brunei Darussalam,2003,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2548.2622074480814,2057.7391094780915,3165.1225376569955
All Population,Brunei Darussalam,2004,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2543.7489564351513,2044.1984976949375,3177.3935220314984
All Population,Brunei Darussalam,2005,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2556.2671471688504,2031.0357971941917,3154.7461572371903
All Population,Brunei Darussalam,2006,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2545.147674588748,2041.5618761233645,3130.733556593999
All Population,Brunei Darussalam,2007,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2570.860977550044,2073.089970577614,3128.2815221749743
All Population,Brunei Darussalam,2008,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2591.8539128304187,2083.4289913325915,3142.346784088057
All Population,Brunei Darussalam,2009,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2621.755784557412,2120.6436282886793,3180.557532728151
All Population,Brunei Darussalam,2010,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2641.674215023364,2136.287177188215,3162.558929429031
All Population,Brunei Darussalam,2011,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2601.1662031113938,2094.482718009588,3141.4707200878884
All Population,Brunei Darussalam,2012,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2638.336497103452,2125.5574668824484,3162.9942066137965
All Population,Brunei Darussalam,2013,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2629.3597113428486,2097.059604365336,3145.988537400165
All Population,Brunei Darussalam,2014,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2631.093482708776,2085.495423948859,3185.7895966958013
All Population,Brunei Darussalam,2015,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2681.13836592301,2095.280400741688,3287.918154635565
All Population,Brunei Darussalam,2016,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2723.855858095491,2120.137416521523,3312.161867753179
All Population,Brunei Darussalam,2017,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2922.837219172033,2277.324637623733,3551.5640386440873
All Population,Brunei Darussalam,2018,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2803.55820802124,2190.8641827455062,3451.9432397409405
All Population,Brunei Darussalam,2019,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2923.989651647381,2311.5122386463045,3593.8460505780026
All Population,Brunei Darussalam,2020,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3243.4838710928802,2600.223113532927,4031.7466564202487
All Population,Brunei Darussalam,2021,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3344.699930352152,2675.04460963472,4096.5367946383685
All Population,Brunei Darussalam,2022,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3277.20597756232,2599.2241650207106,4042.6398161817624
All Population,Brunei Darussalam,2023,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3341.8406386067077,2639.5535998200435,4178.272167376817
All Population,Japan,1990,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3109.4535878384218,2457.818043842669,3990.4794477334153
All Population,Japan,1991,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3111.1997730089793,2477.2115404983792,3946.451102687991
All Population,Japan,1992,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3103.1893120700665,2493.8354847370138,3890.0032208339
All Population,Japan,1993,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3106.6698725316696,2476.4045039088946,3888.5955309382193
All Population,Japan,1994,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3122.9981667905095,2486.8500273412033,3912.685640479821
All Population,Japan,1995,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3107.283634838991,2431.328191749164,3883.086959201261
All Population,Japan,1996,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3086.660169006231,2427.7482731206337,3825.377470534295
All Population,Japan,1997,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3094.822896670349,2413.1150583638923,3844.4436833642967
All Population,Japan,1998,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3071.978823446163,2448.0620854396993,3772.725982219862
All Population,Japan,1999,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3050.926817164547,2453.1789583056106,3781.6011298033613
All Population,Japan,2000,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3047.0028085371137,2468.837633043974,3733.8592384769595
All Population,Japan,2001,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3053.7636650672566,2471.0271759174525,3769.042235330509
All Population,Japan,2002,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3061.7583227070636,2475.9482235845635,3785.313706070083
All Population,Japan,2003,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3072.992877723763,2500.0627745754614,3815.0007210414424
All Population,Japan,2004,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3089.3491420441705,2460.3147012359145,3800.614761671891
All Population,Japan,2005,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3106.9224794380407,2459.8508314586156,3833.203789195516
All Population,Japan,2006,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3127.8814119902318,2485.2576036257483,3834.0622885177554
All Population,Japan,2007,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3148.1884489978697,2471.670035823225,3844.509868797054
All Population,Japan,2008,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3170.307777571673,2519.285955420495,3829.7828736850065
All Population,Japan,2009,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3195.7181988416087,2556.18370156657,3861.112230000655
All Population,Japan,2010,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3222.844555186795,2601.7173176966953,3911.2644169474643
All Population,Japan,2011,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3252.406078667157,2605.5654184185187,3981.153016355081
All Population,Japan,2012,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3281.04443698304,2606.6183881054967,4042.6921400509164
All Population,Japan,2013,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3310.745496762782,2631.3231048296816,4074.5219354138553
All Population,Japan,2014,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3341.4987151497266,2628.171874356663,4108.138622795605
All Population,Japan,2015,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3468.9446526941842,2670.0439349128906,4357.675122564457
All Population,Japan,2016,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3415.38135892236,2629.16768755387,4258.2747290624
All Population,Japan,2017,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3480.0282304246407,2680.900888694783,4363.784792859081
All Population,Japan,2018,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3516.1317355995625,2729.63927390858,4421.790363131371
All Population,Japan,2019,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3631.0506881108936,2879.801852547536,4559.538311418135
All Population,Japan,2020,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3800.595806360701,3033.4448663288013,4833.853735927705
All Population,Japan,2021,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",4140.942204047348,3279.803653597548,5193.391970058094
All Population,Japan,2022,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",4064.822616320484,3209.998602388324,5092.689603267303
All Population,Japan,2023,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",4043.526397802489,3182.4516810742643,5084.885388747957
All Population,Republic of Korea,1990,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3085.269932335292,2558.503484860113,3656.8759767546603
All Population,Republic of Korea,1991,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3084.4129679910193,2546.7237823966966,3643.1977104374373
All Population,Republic of Korea,1992,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3087.9323597168195,2576.1508700693516,3664.4689790365724
All Population,Republic of Korea,1993,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3069.76409065518,2545.121493924598,3673.4096806372386
All Population,Republic of Korea,1994,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3065.6829988510144,2521.8463542553277,3677.8213436101296
All Population,Republic of Korea,1995,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3037.6080631169903,2486.6282448757347,3635.3694326662717
All Population,Republic of Korea,1996,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",3011.3904354707033,2491.6398239218406,3589.2478527522103
All Population,Republic of Korea,1997,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2995.490258555607,2488.0031750440703,3568.3590212354316
All Population,Republic of Korea,1998,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2960.421374715344,2483.883580676185,3527.707086329644
All Population,Republic of Korea,1999,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2921.534783072156,2476.024358090299,3451.4316377076416
All Population,Republic of Korea,2000,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2760.7926803642467,2337.08795364612,3260.1092777540684
All Population,Republic of Korea,2001,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2730.4482893641657,2319.4515693731287,3230.5909117614447
All Population,Republic of Korea,2002,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2729.0120683383793,2304.498970663197,3234.047257856615
All Population,Republic of Korea,2003,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2627.34855845088,2213.0716187018397,3097.5794534591905
All Population,Republic of Korea,2004,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2650.877027745877,2209.0142522059396,3130.2221039823003
All Population,Republic of Korea,2005,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2599.7599001661124,2168.568938891444,3076.465261993044
All Population,Republic of Korea,2006,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2591.2815618927625,2172.445762905041,3042.2893196499003
All Population,Republic of Korea,2007,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2625.174022508379,2214.8930205960955,3052.7482055806945
All Population,Republic of Korea,2008,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2510.1448913728264,2124.8012966912265,2935.231165789998
All Population,Republic of Korea,2009,25-29 years,Both,Depressive disorders,"Prevalent cases per 100,000",2674.542039162347,2298.064178969243,3106.066308783402
