Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,1990,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2466.726428352857,1929.6287218328898,3270.3696232330512
All Population,Brunei Darussalam,1991,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2469.837698528829,1962.0081843707355,3291.6637353855394
All Population,Brunei Darussalam,1992,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2472.6858177232784,1956.6722010350302,3267.1519118779183
All Population,Brunei Darussalam,1993,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2470.08365255466,1961.7971814298405,3223.580823908724
All Population,Brunei Darussalam,1994,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2462.17762735322,1969.0717737289538,3155.1491581043338
All Population,Brunei Darussalam,1995,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2454.4820282669657,1969.2461187642234,3104.6520723900067
All Population,Brunei Darussalam,1996,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2543.417770965634,2050.1571569961193,3187.9135327787308
All Population,Brunei Darussalam,1997,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2534.28072565869,2019.7617167283154,3154.325588507291
All Population,Brunei Darussalam,1998,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2567.5023153822617,2034.328634144173,3216.7264181706364
All Population,Brunei Darussalam,1999,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2613.2416551309084,2068.5345889053056,3257.2533256042334
All Population,Brunei Darussalam,2000,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2600.3036065402025,2045.3458023992173,3253.7219954475177
All Population,Brunei Darussalam,2001,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2576.64454933695,2042.295431845017,3203.7259662379092
All Population,Brunei Darussalam,2002,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2588.319906188114,2038.7508403362447,3238.907898086813
All Population,Brunei Darussalam,2003,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2567.1677681751403,2007.5587921705082,3162.2168094088966
All Population,Brunei Darussalam,2004,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2567.3648205104805,2010.1422803849807,3166.3563350849167
All Population,Brunei Darussalam,2005,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2589.0712661082925,2028.1131568058802,3186.4706728093925
All Population,Brunei Darussalam,2006,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2586.981862676515,2073.8427206015617,3149.9742177980042
All Population,Brunei Darussalam,2007,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2623.941919065874,2082.570007555349,3159.650375070596
All Population,Brunei Darussalam,2008,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2658.9451605656072,2065.4489283790012,3165.437551560199
All Population,Brunei Darussalam,2009,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2703.4856207801463,2123.9787911514463,3274.4394173458495
All Population,Brunei Darussalam,2010,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2738.3561518012457,2130.3565216745674,3313.6052381091326
All Population,Brunei Darussalam,2011,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2698.4080839115827,2087.51151825991,3287.132698464665
All Population,Brunei Darussalam,2012,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2743.3222401380935,2128.272193513039,3341.9901296713865
