Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,2013,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2736.5926936656847,2139.7645387391613,3308.721305152574
All Population,Brunei Darussalam,2014,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2741.868165734682,2151.785412445279,3345.8228864135754
All Population,Brunei Darussalam,2015,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2791.9715217042703,2183.921716816234,3377.7884075828774
All Population,Brunei Darussalam,2016,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2839.95399169098,2225.8388205363653,3451.7999511122366
All Population,Brunei Darussalam,2017,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3063.3166156980637,2402.1111114209198,3728.9437112649557
All Population,Brunei Darussalam,2018,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2928.6441028708896,2307.8653617264117,3548.6261274404214
All Population,Brunei Darussalam,2019,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3055.848734954911,2436.4727842404227,3712.314699773466
All Population,Brunei Darussalam,2020,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3412.4968673672756,2723.871872279579,4201.349432621983
All Population,Brunei Darussalam,2021,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3513.3382054690737,2789.4966066317666,4344.553718048718
All Population,Brunei Darussalam,2022,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3435.7747469941373,2698.0040675946007,4315.959225265845
All Population,Brunei Darussalam,2023,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3509.4310378648875,2721.013351401191,4449.552084135339
All Population,Japan,1990,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3091.658798482766,2425.43778458722,4096.345361676096
All Population,Japan,1991,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3085.2849705786293,2435.447510239226,4038.4171914827766
All Population,Japan,1992,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3071.647226561636,2413.7796977551125,4028.0629937034155
All Population,Japan,1993,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3072.750626261851,2394.727521811667,3984.3991418223773
All Population,Japan,1994,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3088.050197441913,2383.7375538536703,3975.6570633486735
All Population,Japan,1995,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3072.1248650658563,2346.954320198853,3893.957737287912
All Population,Japan,1996,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3055.0582278467127,2352.7693273782015,3857.314044170834
All Population,Japan,1997,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3070.1672200243634,2365.0120428460564,3831.5496871203045
All Population,Japan,1998,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3054.767516092128,2417.4759011684205,3802.98398566199
All Population,Japan,1999,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3043.064977214095,2454.903845040517,3805.492943129874
All Population,Japan,2000,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3047.640319621594,2445.4456875193696,3836.455724388535
All Population,Japan,2001,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3059.3729564295695,2407.3407805677693,3813.9580128430716
All Population,Japan,2002,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3070.7173514315014,2392.421947157905,3783.007822489739
All Population,Japan,2003,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3082.872698399941,2377.220953619833,3750.4750419833817
All Population,Japan,2004,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3098.437063935779,2395.5351414527267,3808.572508370186
All Population,Japan,2005,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3115.378027005206,2412.2672320674988,3835.945712525807
All Population,Japan,2006,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3137.045404969653,2465.5239862670883,3836.5379596132425
All Population,Japan,2007,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3158.7663144483454,2441.6373956124053,3852.5846159793923
All Population,Japan,2008,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3184.04260201745,2469.4564203227583,3902.0655073119888
All Population,Japan,2009,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3213.555516284859,2502.641267000316,3901.0905639328157
All Population,Japan,2010,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3244.0258848480917,2523.105026695844,3940.3138202636537
All Population,Japan,2011,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3276.3001466978444,2524.2330803460914,3991.166417314887
All Population,Japan,2012,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3307.6100907154687,2563.6177547958528,4050.2807809083565
All Population,Japan,2013,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3338.9725043896715,2576.533304488192,4079.5442052946746
All Population,Japan,2014,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3371.3520234925827,2624.535774413036,4077.4023695513883
All Population,Japan,2015,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3505.7391870795177,2695.4214929359346,4287.87497881586
All Population,Japan,2016,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3451.3676577872966,2677.454132147941,4246.110316130816
All Population,Japan,2017,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3520.7540866577992,2719.57937359075,4392.091255825221
All Population,Japan,2018,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3560.8677258245693,2778.790579377074,4481.285564364688
All Population,Japan,2019,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3681.777152152064,2898.0882178617067,4582.076137115733
All Population,Japan,2020,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3856.5167353788397,3013.9290141947786,4800.995681128039
All Population,Japan,2021,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",4199.361585627084,3325.4805117237074,5258.773706282239
All Population,Japan,2022,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",4102.470796285568,3239.6149807233523,5180.884157319015
All Population,Japan,2023,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",4071.566098296793,3197.12683353099,5203.134857200439
All Population,Republic of Korea,1990,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3008.858931729674,2440.878502930982,3782.832552980038
All Population,Republic of Korea,1991,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3013.66303476009,2468.9621343068297,3787.7991669856256
All Population,Republic of Korea,1992,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3018.6816243158164,2492.3323203260406,3772.095468104069
All Population,Republic of Korea,1993,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3007.4636569391114,2499.0119700041787,3753.1411927061567
All Population,Republic of Korea,1994,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3006.09793285478,2491.34738817084,3696.332201230128
All Population,Republic of Korea,1995,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2978.080865984465,2469.3306198224423,3609.3716973194064
All Population,Republic of Korea,1996,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2953.1229848138673,2514.3682664308053,3562.1009389374854
All Population,Republic of Korea,1997,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2940.8466039301884,2486.2003436362384,3509.2377397399255
All Population,Republic of Korea,1998,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2908.5410573353074,2453.675216909553,3447.6276670539105
All Population,Republic of Korea,1999,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2876.4607175041615,2419.7291069194425,3394.167958053515
All Population,Republic of Korea,2000,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2717.437135775404,2244.3545813851247,3210.5520142004957
All Population,Republic of Korea,2001,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2695.5708126324203,2187.3655660933264,3195.7609884049066
All Population,Republic of Korea,2002,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2705.1380893719447,2239.41846332538,3194.573003015072
All Population,Republic of Korea,2003,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2608.4000115925187,2157.4395108307153,3102.450700660299
All Population,Republic of Korea,2004,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2641.697877592309,2185.608944748033,3130.518579347213
All Population,Republic of Korea,2005,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2593.432896041816,2142.3412969057204,3078.522008660294
All Population,Republic of Korea,2006,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2589.8980264343472,2166.24084164749,3073.771517482105
All Population,Republic of Korea,2007,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2633.1613492889433,2214.438468563934,3085.6482008590724
All Population,Republic of Korea,2008,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2515.4333820525485,2106.3957024193974,2960.23393912112
All Population,Republic of Korea,2009,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2698.14827101624,2274.8542606521514,3149.497161169176
All Population,Republic of Korea,2010,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2761.83112644263,2348.6703657416406,3253.1461488772993
All Population,Republic of Korea,2011,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2760.5310820817417,2360.1716310710426,3246.6470385282187
All Population,Republic of Korea,2012,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2862.053386788657,2443.987960534729,3417.9174303331097
All Population,Republic of Korea,2013,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2893.3564023391405,2472.545488038574,3439.697331062208
All Population,Republic of Korea,2014,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2909.813818721159,2466.3360419505625,3439.3440680419676
All Population,Republic of Korea,2015,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2937.8424856460474,2476.1942299452085,3445.2849361201706
All Population,Republic of Korea,2016,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2872.3318739109877,2404.557880099106,3372.842220798269
All Population,Republic of Korea,2017,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3027.7196595630394,2537.3407625562504,3562.4649261378277
All Population,Republic of Korea,2018,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2883.7504997421456,2416.472541945956,3409.1764635846234
All Population,Republic of Korea,2019,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3031.5517213536195,2558.8959041133076,3610.785647402685
All Population,Republic of Korea,2020,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3396.699726256179,2824.3219136692305,4062.1389449925723
All Population,Republic of Korea,2021,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3450.6019892558706,2901.1393586505806,4132.385329060913
All Population,Republic of Korea,2022,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3451.1737006227872,2834.6013365140943,4187.078902465216
All Population,Republic of Korea,2023,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",3457.6933747814683,2834.6297675947208,4249.684754064537
All Population,Singapore,1990,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1831.886690790989,1404.2872945772876,2426.9156197097655
All Population,Singapore,1991,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1913.5978845350035,1481.3605108406032,2514.36159238838
All Population,Singapore,1992,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1812.802872837488,1407.4770108413106,2391.9200984385875
All Population,Singapore,1993,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1853.115002332472,1448.2166142056155,2418.0113799175533
All Population,Singapore,1994,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1930.3438663620082,1523.0245218647308,2493.4920362095418
All Population,Singapore,1995,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1811.008158882499,1450.2124168036808,2331.1672845116873
All Population,Singapore,1996,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1860.2581133169967,1492.41291297675,2360.5113902519543
All Population,Singapore,1997,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1873.5343706615179,1506.3340293932258,2357.3952320086632
All Population,Singapore,1998,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1843.5474516986624,1467.8656856894002,2318.708359887204
All Population,Singapore,1999,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1843.6339654146182,1468.8042882943196,2321.392918204521
All Population,Singapore,2000,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1830.4992140371407,1440.9439202865215,2289.626150937449
All Population,Singapore,2001,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1818.4990570339924,1451.621816327171,2279.360858756216
All Population,Singapore,2002,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1808.5204726095576,1403.1114216375952,2261.2145257994916
All Population,Singapore,2003,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1805.893416211734,1435.449141378396,2234.43535361512
All Population,Singapore,2004,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1812.210836752581,1445.06846040703,2267.384005335404
All Population,Singapore,2005,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1831.1749929036177,1425.576597413286,2263.4028483533234
All Population,Singapore,2006,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1858.7105085476553,1445.370223376327,2286.9270851465535
All Population,Singapore,2007,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1877.4519849570966,1451.4308981999552,2307.608314231905
All Population,Singapore,2008,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1887.3119197585575,1463.2464483015312,2369.170621476551
All Population,Singapore,2009,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1897.1353141664715,1458.9886862583462,2359.800801759104
All Population,Singapore,2010,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1909.2774340162919,1479.7121465836717,2381.074392427864
All Population,Singapore,2011,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1925.5070025004431,1499.1761646600205,2398.7722463462155
All Population,Singapore,2012,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1942.9849296579232,1508.8647880919946,2425.3790827027156
All Population,Singapore,2013,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1961.3865061163422,1519.437698678102,2434.379019604932
All Population,Singapore,2014,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",1981.4454749768627,1528.8167443364116,2439.380040199621
All Population,Singapore,2015,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2001.4378984330917,1564.778148674089,2499.156869627612
All Population,Singapore,2016,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2018.3380355638662,1581.9773682869766,2501.646534395788
All Population,Singapore,2017,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2036.907030168858,1585.222513142352,2520.27922410468
All Population,Singapore,2018,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2052.0261568333544,1605.3865282116324,2532.1339993548722
All Population,Singapore,2019,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2060.6609003149742,1628.4348109968473,2559.890375645979
All Population,Singapore,2020,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2231.502224629426,1761.0843011361205,2801.5730823819604
All Population,Singapore,2021,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2364.0005315082176,1860.5262266270558,3013.826211403888
All Population,Singapore,2022,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2279.186672310428,1771.2296126324568,2922.636844689727
All Population,Singapore,2023,20-24 years,Both,Depressive disorders,"Prevalent cases per 100,000",2298.4409295970763,1792.4942637704205,2965.5956754528515

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 1/24/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
